travel_type,market,measure,unit,state,state_abbrev,period_type,year,quarter,period_label,is_calendar_year_end,value,source,source_file,original_table,original_title
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2020,Q2,Q2 2020,False,3535.496,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2020,Q3,Q3 2020,False,2331.317,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2020,Q4,Q4 2020,True,5340.185,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2021,Q1,Q1 2021,False,7386.785,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2021,Q2,Q2 2021,False,6207.663,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2021,Q3,Q3 2021,False,3473.428,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2021,Q4,Q4 2021,True,6130.746,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2022,Q1,Q1 2022,False,8038.4,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2022,Q2,Q2 2022,False,7542.748,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2022,Q3,Q3 2022,False,7322.608,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2022,Q4,Q4 2022,True,7637.89,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2023,Q1,Q1 2023,False,8646.04,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2023,Q2,Q2 2023,False,7449.218,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2023,Q3,Q3 2023,False,7066.182,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2023,Q4,Q4 2023,True,7976.893,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2024,Q1,Q1 2024,False,8829.172,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2024,Q2,Q2 2024,False,7332.328,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2024,Q3,Q3 2024,False,7049.273,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2024,Q4,Q4 2024,True,8077.218,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2019,Q1,Q1 2019,False,5918.46,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2019,Q2,Q2 2019,False,5934.481,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2019,Q3,Q3 2019,False,6370.27,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2019,Q4,Q4 2019,True,6518.29,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2020,Q1,Q1 2020,False,5769.508,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2020,Q2,Q2 2020,False,2961.247,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2020,Q3,Q3 2020,False,5381.224,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2020,Q4,Q4 2020,True,5854.949,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2021,Q1,Q1 2021,False,5741.009,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2021,Q2,Q2 2021,False,6263.304,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2021,Q3,Q3 2021,False,5072.26,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
