travel_type,market,measure,unit,state,state_abbrev,year,annual_value,annual_method,source
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2020,2997.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2021,4693.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2022,5994.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2023,6581.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2024,6781.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2019,7268.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2020,6405.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2021,9069.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2022,11145.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2023,12159.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Western Australia,WA,2024,11557.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2019,2051.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2020,1178.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2021,2107.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2022,3016.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2023,3238.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Tasmania,TAS,2024,3179.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
